id,type,amount,category_label,subcategory_label,description,start_date,day_of_month,is_active,created_date,category_id,subcategory_id
random-id-001,expense,24,מינויים,דיגיטל,Spotify,2026-04-05,5,TRUE,2026-04-26,5,13
random-id-002,expense,5,מינויים,דיגיטל,Paybox young,2026-04-05,5,TRUE,2026-04-26,5,13
random-id-003,expense,10,מינויים,דיגיטל,Microsoft 365 basic,2026-04-06,6,TRUE,2026-04-26,5,13
random-id-004,expense,52,בריאות,ביטוחים,"הראל - ביטוח בריאות, ביטוח מחלות קשות",2026-04-07,7,TRUE,2026-04-26,11,3
random-id-005,expense,17,בריאות,ביטוחים,כלל - ביטוח אי כושר עבודה,2026-04-10,10,TRUE,2026-04-26,11,3
random-id-006,expense,12,מינויים,דיגיטל,iCloud ,2026-04-11,11,TRUE,2026-04-26,5,13
random-id-007,expense,2,מינויים,דיגיטל,Moovit,2026-04-11,11,TRUE,2026-04-26,5,13
random-id-008,expense,65,מינויים,דיגיטל,Claude pro,2026-04-14,14,TRUE,2026-04-26,5,13
random-id-009,expense,70,מינויים,דיגיטל,Netflix,2026-04-14,14,TRUE,2026-04-26,5,13
random-id-010,expense,65,מינויים,דיגיטל,Chat gpt plus,2026-04-16,16,TRUE,2026-04-26,5,13
random-id-011,expense,298,מינויים,חדר כושר,,2026-04-22,22,TRUE,2026-04-26,5,14
random-id-012,expense,40,תחבורה,קורקינט,Lime premium,2026-04-24,24,TRUE,2026-04-26,1,4
random-id-013,expense,10,מינויים,דיגיטל,Ticktick,2026-04-27,27,TRUE,2026-04-26,5,13
random-id-014,expense,7,מינויים,דיגיטל,Google one,2026-04-29,29,TRUE,2026-04-26,5,13
